id,url,GED,hitSmiles,qrySmiles,tanimoto_gen_vs_to_buy,total_score,HEK_classifier,CFPAC_classifier,Custom_alerts,MW,raw_HEK_classifier,raw_CFPAC_classifier,raw_MW,valid,qryInchis,inchi_to_buy
MCULE-4061343581,https://mcule.com/MCULE-4061343581/,,S(=O)(=O)(C1C=CC(=CC=1)I)NC1=CC=C(C=C1)NC1=NC(C)=CC(N2CCOCC2)=N1,c1ccc(N=c2[nH]c(N3CCOCC3)cc(C)n2)cc1NS(=O)(c1ccc(Cl)cc1)=O,0.716927453769559,0.0,0.8507829,0.97319597,1.0,0.0,0.82,0.07,551.41,1,"InChI=1S/C21H22ClN5O3S/c1-15-13-20(27-9-11-30-12-10-27)25-21(23-15)24-17-3-2-4-18(14-17)26-31(28,29)19-7-5-16(22)6-8-19/h2-8,13-14,26H,9-12H2,1H3,(H,23,24,25)","InChI=1S/C21H22IN5O3S/c1-15-14-20(27-10-12-30-13-11-27)25-21(23-15)24-17-4-6-18(7-5-17)26-31(28,29)19-8-2-16(22)3-9-19/h2-9,14,26H,10-13H2,1H3,(H,23,24,25)"
ZINC000100957792,ZINC000100957792,5.0,Cc1cc(N2CCOCC2)nc(Nc3ccc(NS(=O)(=O)c4ccc(I)cc4)cc3)n1,c1ccc(N=c2[nH]c(N3CCOCC3)cc(C)n2)cc1NS(=O)(c4ccc(Cl)cc4)=O,0.3095238095238095,0.0,0.8507829,0.97319597,1.0,0.0,0.82,0.07,551.41,1,"InChI=1S/C21H22ClN5O3S/c1-15-13-20(27-9-11-30-12-10-27)25-21(23-15)24-17-3-2-4-18(14-17)26-31(28,29)19-7-5-16(22)6-8-19/h2-8,13-14,26H,9-12H2,1H3,(H,23,24,25)","InChI=1S/C21H22IN5O3S/c1-15-14-20(27-10-12-30-13-11-27)25-21(23-15)24-17-4-6-18(7-5-17)26-31(28,29)19-8-2-16(22)3-9-19/h2-9,14,26H,10-13H2,1H3,(H,23,24,25)"
MCULE-6897749138,https://mcule.com/MCULE-6897749138/,,S(C1C=CC=CC=1)(=O)(=O)NC1=CC=C(C=C1)NC1=NC(C)=CC(N2CCOCC2)=N1,c1ccc(N=c2[nH]c(N3CCOCC3)cc(C)n2)cc1NS(=O)(c1ccc(Cl)cc1)=O,0.7299270072992701,0.96986,0.9479086,0.99603474,1.0,1.0,1.0,0.0,425.514,1,"InChI=1S/C21H22ClN5O3S/c1-15-13-20(27-9-11-30-12-10-27)25-21(23-15)24-17-3-2-4-18(14-17)26-31(28,29)19-7-5-16(22)6-8-19/h2-8,13-14,26H,9-12H2,1H3,(H,23,24,25)","InChI=1S/C21H23N5O3S/c1-16-15-20(26-11-13-29-14-12-26)24-21(22-16)23-17-7-9-18(10-8-17)25-30(27,28)19-5-3-2-4-6-19/h2-10,15,25H,11-14H2,1H3,(H,22,23,24)"
MCULE-1508380250,https://mcule.com/MCULE-1508380250/,,S(=O)(=O)(C1C=CC(=CC=1)C)NC1C=CC(=CC=1)NC1=NC(C)=CC(N2CCOCC2)=N1,c1ccc(N=c2[nH]c(N3CCOCC3)cc(C)n2)cc1NS(=O)(c1ccc(Cl)cc1)=O,0.7228571428571429,0.833965,0.83366245,0.6961288,1.0,1.0,0.8,0.17,439.541,1,"InChI=1S/C21H22ClN5O3S/c1-15-13-20(27-9-11-30-12-10-27)25-21(23-15)24-17-3-2-4-18(14-17)26-31(28,29)19-7-5-16(22)6-8-19/h2-8,13-14,26H,9-12H2,1H3,(H,23,24,25)","InChI=1S/C22H25N5O3S/c1-16-3-9-20(10-4-16)31(28,29)26-19-7-5-18(6-8-19)24-22-23-17(2)15-21(25-22)27-11-13-30-14-12-27/h3-10,15,26H,11-14H2,1-2H3,(H,23,24,25)"
ZINC000017050991,ZINC000017050991,5.0,Cc1ccc(S(=O)(=O)Nc2ccc(Nc3nc(C)cc(N4CCOCC4)n3)cc2)cc1,c1ccc(N=c2[nH]c(N3CCOCC3)cc(C)n2)cc1NS(=O)(c4ccc(Cl)cc4)=O,0.3170731707317073,0.833965,0.83366245,0.6961288,1.0,1.0,0.8,0.17,439.541,1,"InChI=1S/C21H22ClN5O3S/c1-15-13-20(27-9-11-30-12-10-27)25-21(23-15)24-17-3-2-4-18(14-17)26-31(28,29)19-7-5-16(22)6-8-19/h2-8,13-14,26H,9-12H2,1H3,(H,23,24,25)","InChI=1S/C22H25N5O3S/c1-16-3-9-20(10-4-16)31(28,29)26-19-7-5-18(6-8-19)24-22-23-17(2)15-21(25-22)27-11-13-30-14-12-27/h3-10,15,26H,11-14H2,1-2H3,(H,23,24,25)"
MCULE-9239648684,https://mcule.com/MCULE-9239648684/,,S(=O)(=O)(C1=CC=CC(C)=C1)NC1=CC=C(C=C1)NC1=NC(C)=CC(N2CCOCC2)=N1,c1ccc(N=c2[nH]c(N3CCOCC3)cc(C)n2)cc1NS(=O)(c1ccc(Cl)cc1)=O,0.7211948790896159,0.8306188,0.85878396,0.63474333,1.0,1.0,0.83,0.18,439.541,1,"InChI=1S/C21H22ClN5O3S/c1-15-13-20(27-9-11-30-12-10-27)25-21(23-15)24-17-3-2-4-18(14-17)26-31(28,29)19-7-5-16(22)6-8-19/h2-8,13-14,26H,9-12H2,1H3,(H,23,24,25)","InChI=1S/C22H25N5O3S/c1-16-4-3-5-20(14-16)31(28,29)26-19-8-6-18(7-9-19)24-22-23-17(2)15-21(25-22)27-10-12-30-13-11-27/h3-9,14-15,26H,10-13H2,1-2H3,(H,23,24,25)"
MCULE-5816683920,https://mcule.com/MCULE-5816683920/,,S(=O)(=O)(C1C=CC(=CC=1)CC)NC1C=CC(=CC=1)NC1=NC(C)=CC(N2CCOCC2)=N1,c1ccc(N=c2[nH]c(N3CCOCC3)cc(C)n2)cc1NS(=O)(c1ccc(Cl)cc1)=O,0.7205673758865249,0.88396764,0.85878396,0.8399507,1.0,1.0,0.83,0.14,453.568,1,"InChI=1S/C21H22ClN5O3S/c1-15-13-20(27-9-11-30-12-10-27)25-21(23-15)24-17-3-2-4-18(14-17)26-31(28,29)19-7-5-16(22)6-8-19/h2-8,13-14,26H,9-12H2,1H3,(H,23,24,25)","InChI=1S/C23H27N5O3S/c1-3-18-4-10-21(11-5-18)32(29,30)27-20-8-6-19(7-9-20)25-23-24-17(2)16-22(26-23)28-12-14-31-15-13-28/h4-11,16,27H,3,12-15H2,1-2H3,(H,24,25,26)"
MCULE-2455836955,https://mcule.com/MCULE-2455836955/,,S(=O)(=O)(C1=CC=CC(F)=C1)NC1C=CC(=CC=1)NC1=NC(C)=CC(N2CCOCC2)=N1,c1ccc(N=c2[nH]c(N3CCOCC3)cc(C)n2)cc1NS(=O)(c1ccc(F)cc1)=O,0.7363896848137536,0.96986,0.9479086,0.99603474,1.0,1.0,1.0,0.0,443.504,1,"InChI=1S/C21H22FN5O3S/c1-15-13-20(27-9-11-30-12-10-27)25-21(23-15)24-17-3-2-4-18(14-17)26-31(28,29)19-7-5-16(22)6-8-19/h2-8,13-14,26H,9-12H2,1H3,(H,23,24,25)","InChI=1S/C21H22FN5O3S/c1-15-13-20(27-9-11-30-12-10-27)25-21(23-15)24-17-5-7-18(8-6-17)26-31(28,29)19-4-2-3-16(22)14-19/h2-8,13-14,26H,9-12H2,1H3,(H,23,24,25)"
MCULE-8388595355,https://mcule.com/MCULE-8388595355/,,S(=O)(=O)(C1C=CC(=CC=1)F)NC1=CC=C(C=C1)NC1=NC(C)=CC(N2CCOCC2)=N1,c1ccc(N=c2[nH]c(N3CCOCC3)cc(C)n2)cc1NS(=O)(c1ccc(F)cc1)=O,0.762043795620438,0.8478343,0.85878396,0.6961288,1.0,1.0,0.83,0.17,443.504,1,"InChI=1S/C21H22FN5O3S/c1-15-13-20(27-9-11-30-12-10-27)25-21(23-15)24-17-3-2-4-18(14-17)26-31(28,29)19-7-5-16(22)6-8-19/h2-8,13-14,26H,9-12H2,1H3,(H,23,24,25)","InChI=1S/C21H22FN5O3S/c1-15-14-20(27-10-12-30-13-11-27)25-21(23-15)24-17-4-6-18(7-5-17)26-31(28,29)19-8-2-16(22)3-9-19/h2-9,14,26H,10-13H2,1H3,(H,23,24,25)"
ZINC000017013744,ZINC000017013744,4.0,Cc1cc(N2CCOCC2)nc(Nc3ccc(NS(=O)(=O)c4ccc(F)cc4)cc3)n1,c1ccc(N=c2[nH]c(N3CCOCC3)cc(C)n2)cc1NS(=O)(c4ccc(F)cc4)=O,0.2954545454545454,0.8478343,0.85878396,0.6961288,1.0,1.0,0.83,0.17,443.504,1,"InChI=1S/C21H22FN5O3S/c1-15-13-20(27-9-11-30-12-10-27)25-21(23-15)24-17-3-2-4-18(14-17)26-31(28,29)19-7-5-16(22)6-8-19/h2-8,13-14,26H,9-12H2,1H3,(H,23,24,25)","InChI=1S/C21H22FN5O3S/c1-15-14-20(27-10-12-30-13-11-27)25-21(23-15)24-17-4-6-18(7-5-17)26-31(28,29)19-8-2-16(22)3-9-19/h2-9,14,26H,10-13H2,1H3,(H,23,24,25)"
