id,url,GED,hitSmiles,qrySmiles,tanimoto_gen_vs_to_buy,total_score,HEK_classifier,CAPAN_classifier,Custom_alerts,MW,raw_HEK_classifier,raw_CAPAN_classifier,raw_MW,valid,qryInchis,inchi_to_buy
MCULE-1329927232,https://mcule.com/MCULE-1329927232/,,N1=C(C=C(N=C1NC1C=CC(=CC=1)NC(=O)C1C=CC(=CC=1)C)C)N1CCCCC1,c1cc(N=c2[nH]c(N3CCCCC3)cc(C)n2)ccc1NC(c1ccc(C)cc1)=O,0.755,0.96986,0.9479086,0.99603474,1.0,1.0,1.0,0.0,401.514,1,"InChI=1S/C24H27N5O/c1-17-6-8-19(9-7-17)23(30)26-20-10-12-21(13-11-20)27-24-25-18(2)16-22(28-24)29-14-4-3-5-15-29/h6-13,16H,3-5,14-15H2,1-2H3,(H,26,30)(H,25,27,28)","InChI=1S/C24H27N5O/c1-17-6-8-19(9-7-17)23(30)26-20-10-12-21(13-11-20)27-24-25-18(2)16-22(28-24)29-14-4-3-5-15-29/h6-13,16H,3-5,14-15H2,1-2H3,(H,26,30)(H,25,27,28)"
ZINC000009573351,ZINC000009573351,2.0,Cc1ccc(C(=O)Nc2ccc(Nc3nc(C)cc(N4CCCCC4)n3)cc2)cc1,c1cc(N=c2[nH]c(N3CCCCC3)cc(C)n2)ccc1NC(c4ccc(C)cc4)=O,0.4428571428571428,0.96986,0.9479086,0.99603474,1.0,1.0,1.0,0.0,401.514,1,"InChI=1S/C24H27N5O/c1-17-6-8-19(9-7-17)23(30)26-20-10-12-21(13-11-20)27-24-25-18(2)16-22(28-24)29-14-4-3-5-15-29/h6-13,16H,3-5,14-15H2,1-2H3,(H,26,30)(H,25,27,28)","InChI=1S/C24H27N5O/c1-17-6-8-19(9-7-17)23(30)26-20-10-12-21(13-11-20)27-24-25-18(2)16-22(28-24)29-14-4-3-5-15-29/h6-13,16H,3-5,14-15H2,1-2H3,(H,26,30)(H,25,27,28)"
MCULE-8946938293,https://mcule.com/MCULE-8946938293/,,N1=C(C=C(N=C1NC1=CC=C(C=C1)NC(=O)C1C=CC(=CC=1)F)C)N1CCCCC1,c1cc(N=c2[nH]c(N3CCCCCC3)cc(C)n2)ccc1NC(=O)c1ccccc1,0.7056910569105691,0.96986,0.9479086,0.99603474,1.0,1.0,1.0,0.0,405.477,1,"InChI=1S/C24H27N5O/c1-18-17-22(29-15-7-2-3-8-16-29)28-24(25-18)27-21-13-11-20(12-14-21)26-23(30)19-9-5-4-6-10-19/h4-6,9-14,17H,2-3,7-8,15-16H2,1H3,(H,26,30)(H,25,27,28)","InChI=1S/C23H24FN5O/c1-16-15-21(29-13-3-2-4-14-29)28-23(25-16)27-20-11-9-19(10-12-20)26-22(30)17-5-7-18(24)8-6-17/h5-12,15H,2-4,13-14H2,1H3,(H,26,30)(H,25,27,28)"
ZINC000017013341,ZINC000017013341,4.0,Cc1cc(N2CCCCC2)nc(Nc3ccc(NC(=O)c4ccc(F)cc4)cc3)n1,c1cc(N=c2[nH]c(N3CCCCCC3)cc(C)n2)ccc1NC(=O)c4ccccc4,0.3466666666666667,0.96986,0.9479086,0.99603474,1.0,1.0,1.0,0.0,405.477,1,"InChI=1S/C24H27N5O/c1-18-17-22(29-15-7-2-3-8-16-29)28-24(25-18)27-21-13-11-20(12-14-21)26-23(30)19-9-5-4-6-10-19/h4-6,9-14,17H,2-3,7-8,15-16H2,1H3,(H,26,30)(H,25,27,28)","InChI=1S/C23H24FN5O/c1-16-15-21(29-13-3-2-4-14-29)28-23(25-16)27-20-11-9-19(10-12-20)26-22(30)17-5-7-18(24)8-6-17/h5-12,15H,2-4,13-14H2,1H3,(H,26,30)(H,25,27,28)"
MCULE-8946938293,https://mcule.com/MCULE-8946938293/,,N1=C(C=C(N=C1NC1=CC=C(C=C1)NC(=O)C1C=CC(=CC=1)F)C)N1CCCCC1,c1cc(N=c2[nH]c(N3CCCCCC3)cc(C)n2)ccc1NC(c1ccccc1)=O,0.7056910569105691,0.96986,0.9479086,0.99603474,1.0,1.0,1.0,0.0,405.477,1,"InChI=1S/C24H27N5O/c1-18-17-22(29-15-7-2-3-8-16-29)28-24(25-18)27-21-13-11-20(12-14-21)26-23(30)19-9-5-4-6-10-19/h4-6,9-14,17H,2-3,7-8,15-16H2,1H3,(H,26,30)(H,25,27,28)","InChI=1S/C23H24FN5O/c1-16-15-21(29-13-3-2-4-14-29)28-23(25-16)27-20-11-9-19(10-12-20)26-22(30)17-5-7-18(24)8-6-17/h5-12,15H,2-4,13-14H2,1H3,(H,26,30)(H,25,27,28)"
ZINC000017013341,ZINC000017013341,4.0,Cc1cc(N2CCCCC2)nc(Nc3ccc(NC(=O)c4ccc(F)cc4)cc3)n1,c1cc(N=c2[nH]c(N3CCCCCC3)cc(C)n2)ccc1NC(c4ccccc4)=O,0.3466666666666667,0.96986,0.9479086,0.99603474,1.0,1.0,1.0,0.0,405.477,1,"InChI=1S/C24H27N5O/c1-18-17-22(29-15-7-2-3-8-16-29)28-24(25-18)27-21-13-11-20(12-14-21)26-23(30)19-9-5-4-6-10-19/h4-6,9-14,17H,2-3,7-8,15-16H2,1H3,(H,26,30)(H,25,27,28)","InChI=1S/C23H24FN5O/c1-16-15-21(29-13-3-2-4-14-29)28-23(25-16)27-20-11-9-19(10-12-20)26-22(30)17-5-7-18(24)8-6-17/h5-12,15H,2-4,13-14H2,1H3,(H,26,30)(H,25,27,28)"
MCULE-8278623228,https://mcule.com/MCULE-8278623228/,,N1=C(C=C(N=C1NC1=CC=C(C=C1)NC(C1=CC=CC=C1)=O)C)N1CCCCC1,c1cc(N=c2[nH]c(N3CCCCCC3)cc(C)n2)ccc1NC(=O)c1ccccc1,0.7265100671140939,0.96986,0.9479086,0.99603474,1.0,1.0,1.0,0.0,387.487,1,"InChI=1S/C24H27N5O/c1-18-17-22(29-15-7-2-3-8-16-29)28-24(25-18)27-21-13-11-20(12-14-21)26-23(30)19-9-5-4-6-10-19/h4-6,9-14,17H,2-3,7-8,15-16H2,1H3,(H,26,30)(H,25,27,28)","InChI=1S/C23H25N5O/c1-17-16-21(28-14-6-3-7-15-28)27-23(24-17)26-20-12-10-19(11-13-20)25-22(29)18-8-4-2-5-9-18/h2,4-5,8-13,16H,3,6-7,14-15H2,1H3,(H,25,29)(H,24,26,27)"
ZINC000017013516,ZINC000017013516,3.0,Cc1cc(N2CCCCC2)nc(Nc3ccc(NC(=O)c4ccccc4)cc3)n1,c1cc(N=c2[nH]c(N3CCCCCC3)cc(C)n2)ccc1NC(=O)c4ccccc4,0.4264705882352941,0.96986,0.9479086,0.99603474,1.0,1.0,1.0,0.0,387.487,1,"InChI=1S/C24H27N5O/c1-18-17-22(29-15-7-2-3-8-16-29)28-24(25-18)27-21-13-11-20(12-14-21)26-23(30)19-9-5-4-6-10-19/h4-6,9-14,17H,2-3,7-8,15-16H2,1H3,(H,26,30)(H,25,27,28)","InChI=1S/C23H25N5O/c1-17-16-21(28-14-6-3-7-15-28)27-23(24-17)26-20-12-10-19(11-13-20)25-22(29)18-8-4-2-5-9-18/h2,4-5,8-13,16H,3,6-7,14-15H2,1H3,(H,25,29)(H,24,26,27)"
MCULE-8278623228,https://mcule.com/MCULE-8278623228/,,N1=C(C=C(N=C1NC1=CC=C(C=C1)NC(C1=CC=CC=C1)=O)C)N1CCCCC1,c1cc(N=c2[nH]c(N3CCCCCC3)cc(C)n2)ccc1NC(c1ccccc1)=O,0.7265100671140939,0.96986,0.9479086,0.99603474,1.0,1.0,1.0,0.0,387.487,1,"InChI=1S/C24H27N5O/c1-18-17-22(29-15-7-2-3-8-16-29)28-24(25-18)27-21-13-11-20(12-14-21)26-23(30)19-9-5-4-6-10-19/h4-6,9-14,17H,2-3,7-8,15-16H2,1H3,(H,26,30)(H,25,27,28)","InChI=1S/C23H25N5O/c1-17-16-21(28-14-6-3-7-15-28)27-23(24-17)26-20-12-10-19(11-13-20)25-22(29)18-8-4-2-5-9-18/h2,4-5,8-13,16H,3,6-7,14-15H2,1H3,(H,25,29)(H,24,26,27)"
ZINC000017013516,ZINC000017013516,3.0,Cc1cc(N2CCCCC2)nc(Nc3ccc(NC(=O)c4ccccc4)cc3)n1,c1cc(N=c2[nH]c(N3CCCCCC3)cc(C)n2)ccc1NC(c4ccccc4)=O,0.4264705882352941,0.96986,0.9479086,0.99603474,1.0,1.0,1.0,0.0,387.487,1,"InChI=1S/C24H27N5O/c1-18-17-22(29-15-7-2-3-8-16-29)28-24(25-18)27-21-13-11-20(12-14-21)26-23(30)19-9-5-4-6-10-19/h4-6,9-14,17H,2-3,7-8,15-16H2,1H3,(H,26,30)(H,25,27,28)","InChI=1S/C23H25N5O/c1-17-16-21(28-14-6-3-7-15-28)27-23(24-17)26-20-12-10-19(11-13-20)25-22(29)18-8-4-2-5-9-18/h2,4-5,8-13,16H,3,6-7,14-15H2,1H3,(H,25,29)(H,24,26,27)"
