ID,Supplier,Supplier Ref,SMILES,CLNUMBER
IRB-0012518,ChemDiv,G894-0214,COc1cc(c(cc1Cl)N1C(=O)CCC1(C)C(=O)NCCCOC(C)C)OC,CL2049
IRB-0012519,ChemDiv,E738-0024,NC1=C(C#N)C(C2=C(O1)c1ccccc1N(Cc1ccccc1)S2(=O)=O)c1cccnc1,CL5187
IRB-0012520,ChemDiv,G894-0236,CC(C)OCCCNC(=O)C1(C)CCC(=O)N1Cc1ccc2c(c1)OCO2,CL2049
IRB-0012521,ChemDiv,E738-0036,NC1=C(C#N)C(C2=C(O1)c1ccccc1N(Cc1ccccc1)S2(=O)=O)c1ccccc1Cl,CL5187
IRB-0012522,ChemDiv,G894-0247,CC(C)OCCCNC(=O)C1(C)CCC(=O)N1Cc1cccc(c1)C,CL2049
IRB-0012523,ChemDiv,E738-0037,NC1=C(C#N)C(C2=C(O1)c1ccccc1N(Cc1ccccc1)S2(=O)=O)c1cccc(c1)Cl,CL5187
IRB-0012524,ChemDiv,G894-0258,CC(C)OCCCNC(=O)C1(C)CCC(=O)N1Cc1ccc(cc1)F,CL2049
IRB-0012525,ChemDiv,E738-0046,NC1=C(C#N)C(C2=C(O1)c1ccccc1N(Cc1ccccc1)S2(=O)=O)c1ccsc1,CL5187
IRB-0012526,ChemDiv,G894-0285,CCOc1ccc(cc1)CN1C(=O)CCC1(C)C(=O)NCCCOC(C)C,CL2049
IRB-0012527,ChemDiv,E738-0053,COc1ccc(c(c1)C1C(=C(N)OC2=C1S(=O)(=O)N(C)c1ccccc12)C#N)OC,CL5187
IRB-0012528,ChemDiv,G894-0348,COCCCNC(=O)C1(C)CCC(=O)N1CCc1ccc(cc1)C,CL2049
IRB-0012529,ChemDiv,6321-0340,Nc1nc2n(n1)[C@H](C[C@H](N2)c1ccccc1)c1ccc(cc1)F,CL0949
IRB-0012530,ChemDiv,E963-0273,Fc1ccc(cc1F)N1C(=O)CS(=O)(=O)C11C(=O)N(Cc2cccc(c2)Cl)c2ccccc21,CL6065
IRB-0012531,ChemDiv,6321-0347,COc1ccc(cc1)[C@@H]1C[C@H](c2ccc(cc2)F)n2nc(nc2N1)N,CL0949
IRB-0012532,ChemDiv,E971-0031,C1CCC2(CC1)Nc1ccccc1C(=N2)SCc1ccccc1,CL4719
IRB-0012533,ChemDiv,6321-0358,COc1cccc(c1)[C@@H]1C[C@H](c2ccc(cc2Cl)Cl)n2nc(nc2N1)N,CL0949
IRB-0012534,ChemDiv,E971-0066,Clc1ccccc1CSC1=NC2(CCCCC2)Nc2ccccc21,CL4719
IRB-0012535,ChemDiv,6321-0369,Cc1ccc(cc1)[C@@H]1C[C@H](c2c(cccc2Cl)F)n2nc(nc2N1)N,CL0949
IRB-0012536,ChemDiv,E971-0073,Clc1cccc(c1)CSC1=NC2(CCCCC2)Nc2ccccc21,CL4719
IRB-0012537,ChemDiv,6321-0370,COc1cccc(c1)[C@@H]1C[C@H](c2c(cccc2Cl)F)n2nc(nc2N1)N,CL0949
IRB-0012538,ChemDiv,E971-0080,Clc1ccc(cc1)CSC1=NC2(CCCCC2)Nc2ccccc21,CL4719
IRB-0012539,ChemDiv,6321-0383,COc1ccc(cc1)[C@@H]1C[C@H](c2ccc(cc2)C)n2nc(nc2N1)N,CL0949
IRB-0012540,ChemDiv,E971-0297,Clc1ccccc1NC(=O)CSC1=NC2(CCCCC2)Nc2ccccc21,CL4719
IRB-0012541,ChemDiv,6321-0387,CCOc1ccc(cc1)[C@@H]1C[C@H](c2ccc(cc2)C)n2nc(nc2N1)N,CL0949
IRB-0012542,ChemDiv,E971-0298,Clc1ccccc1NC(=O)CSC1=NC2(CCCCCC2)Nc2ccccc21,CL4719
IRB-0012543,ChemDiv,6321-0394,COc1cccc(c1)[C@@H]1C[C@H](c2c(cccc2Cl)Cl)n2nc(nc2N1)N,CL0949
IRB-0012544,ChemDiv,E971-0304,Clc1cccc(c1)NC(=O)CSC1=NC2(CCCCC2)Nc2ccccc21,CL4719
IRB-0012545,ChemDiv,E738-0054,COc1cccc(c1OC)C1C(=C(N)OC2=C1S(=O)(=O)N(C)c1ccccc12)C#N,CL5187
IRB-0012546,ChemDiv,G894-0428,COCCNC(=O)C1(C)CCC(=O)N1Cc1ccco1,CL2049
IRB-0012547,ChemDiv,E738-0056,COc1ccccc1C1C(=C(N)OC2=C1S(=O)(=O)N(C)c1ccccc12)C#N,CL5187
IRB-0012548,ChemDiv,G894-0460,COCCNC(=O)C1(C)CCC(=O)N1CCc1c[nH]c2ccccc12,CL2049
IRB-0012549,ChemDiv,E738-0057,COc1ccc(c(c1)OC)C1C(=C(N)OC2=C1S(=O)(=O)N(C)c1ccccc12)C#N,CL5187
IRB-0012550,ChemDiv,G894-0462,COCCNC(=O)C1(C)CCC(=O)N1Cc1cccs1,CL2049
IRB-0012551,ChemDiv,E738-0060,CN1c2ccccc2C2=C(C(C(=C(N)O2)C#N)c2cccc(c2)F)S1(=O)=O,CL5187
IRB-0012552,ChemDiv,G894-0485,COCCNC(=O)C1(C)CCC(=O)N1CCc1cccs1,CL2049
IRB-0012553,ChemDiv,E738-0063,CN1c2ccccc2C2=C(C(C(=C(N)O2)C#N)c2ccc(cc2)Br)S1(=O)=O,CL5187
IRB-0012554,ChemDiv,G951-0001,COc1cc(c(cc1OC)[C@H]1C[C@H](Nc2nnnn21)c1cccc(c1)Br)OC,CL1132
IRB-0012555,ChemDiv,E738-0067,CN1c2ccccc2C2=C(C(C(=C(N)O2)C#N)c2cc(ccc2F)Br)S1(=O)=O,CL5187
IRB-0012556,ChemDiv,G951-0004,COc1ccc(cc1)[C@H]1C[C@H](Nc2nnnn21)c1cccc(c1)Br,CL1132
IRB-0012557,ChemDiv,E738-0069,COc1ccc(cc1)C1C(=C(N)OC2=C1S(=O)(=O)N(C)c1ccccc12)C#N,CL5187
IRB-0012558,ChemDiv,G951-0006,COc1cccc(c1)[C@@H]1C[C@H](c2cccc(c2)F)n2nnnc2N1,CL1132
IRB-0012559,ChemDiv,E738-0074,CN1c2ccccc2C2=C(C(C(=C(N)O2)C#N)c2cccnc2)S1(=O)=O,CL5187
IRB-0012560,ChemDiv,G951-0008,Cc1ccc(cc1)[C@@H]1C[C@H](c2ccc(cc2)C)n2nnnc2N1,CL1132
IRB-0012561,ChemDiv,6321-0399,CCOc1ccc(cc1)[C@@H]1C[C@H](c2c(cccc2Cl)Cl)n2nc(nc2N1)N,CL0949
IRB-0012562,ChemDiv,E971-0305,Clc1cccc(c1)NC(=O)CSC1=NC2(CCCCCC2)Nc2ccccc21,CL4719
IRB-0012563,ChemDiv,6321-0411,CCOc1ccc(cc1)[C@@H]1C[C@H](c2ccccc2C)n2nc(nc2N1)N,CL0949
IRB-0012564,ChemDiv,E972-0341,COc1ccc(cc1)C1=NC2(CCN(CC2)C(=O)Nc2cc(ccc2OC)OC)N=C1SC,CL5890
IRB-0012565,ChemDiv,6321-0413,Cc1cccc(c1)[C@H]1C[C@H](Nc2nc(nn21)N)c1ccc(cc1)F,CL0949
IRB-0012566,ChemDiv,E972-0529,CSC1=NC2(CCN(CC2)C(=O)NC2CCCCC2)N=C1c1ccccc1,CL5890
IRB-0012567,ChemDiv,6321-0423,CCOc1ccc(cc1)[C@@H]1C[C@H](c2cccc(c2)C)n2nc(nc2N1)N,CL0949
IRB-0012568,ChemDiv,E975-1306,O=S(=O)(NCc1ccco1)c1ccc2[nH]c3c(c2c1)CCCCC3,CL4945C
