,P31946,P62258,P63104,Q12888,P10398,Q13085,P68363,P37023,P55265,Q13131,P04083,P20073,P10275,P08243,Q13315,P15056,Q92934,Q16611,Q92560,Q07812,P10415,Q07817,Q14457,P60709,P55957,P51587,P05412,P10721,P08581,P01106,P55210,Q14790,Q03135,P11836,P16284,P17301,P06493,O96017,Q13490,O95471,P12109,P14635,P24385,P24864,O96020,O95661,Q99497,Q92997,P12830,P13639,O00418,P06730,Q04637,P07992,P28482,P14921,P49327,P02751,Q08050,P15407,P11413,Q9UQC2,P04406,P23771,P49841,P04626,P21860,Q02297,P0DMV8,P18065,O15327,P35568,O60674,P45983,P45984,P13010,P06239,Q00987,O15151,Q9UJM3,P49959,P43246,P52701,P42345,P35749,P35579,P19022,P01111,Q92597,P19838,P35240,P46531,P22223,P38936,P04637,Q13501,P05121,P09874,P49023,P12004,Q53EL6,P42336,P27986,P17252,Q05655,P05771,P21796,P06401,Q96B36,Q06830,Q8TCU6,P60484,P57735,Q92878,Q06609,Q8N122,P06400,Q96T37,Q6R327,O00767,Q9BYW2,Q07955,P29353,Q06124,Q9NR28,Q15797,P84022,Q13485,O95863,P40763,P42229,P16949,P43405,Q9GZV5,P02786,Q9NQ88,P21980,Q92574,Q15361,P15498,P35968,P40337,P17861,P18887
ACH-000404,0.390109,0.382919,0.411954,-0.477983,-0.309259,-0.047149,-0.286712,-0.016227,-0.251985,-0.721427,-1.365466,-0.442669,0.081128,-1.7467,1.655407,-0.297832,-0.107518,-0.127648,0.217914,0.859191,0.482673,0.443485,0.320267,1.354631,-0.074013,-0.18716,-0.159755,0.898552,-0.084228,1.317395,-0.055962,-0.045193,-3.145374,0.206446,-0.23126,-0.578525,0.949115,-0.43804,-0.027855,-0.146976,-0.013735,-0.108972,0.523706,0.643043,-0.094552,-0.039383,0.030835,0.279089,2.268045,1.620812,0.513016,-0.441167,0.192695,0.269825,0.792347,1.181165,0.321249,0.010602,0.090492,0.524677,-0.399848,1.692957,1.009723,-0.702211,-0.193574,0.157564,0.777105,-0.140058,-0.038406,1.434939,-0.142436,-0.678541,0.280327,-0.616145,-0.089713,0.266985,0.170162,0.835283,0.053234,-0.172301,-0.232386,-0.534996,-0.319072,-0.009759,0.431193,0.34458,0.40314,-0.181033,0.447206,-0.758337,0.531849,0.560282,1.314661,0.676626,-0.642774,0.948047,-0.475794,-0.248496,0.969709,-0.050053,-0.569777,-0.314153,0.758518,-0.805451,0.12132,0.137348,0.130969,-0.130054,0.39089,-0.317988,0.13038,-2.865629,-0.365379,-0.232398,-0.16712,0.047862,1.181319,-0.328432,0.288042,0.404161,-0.199472,-0.178107,-0.110323,-0.90132,0.292743,-0.279066,0.065756,-0.288277,0.075209,0.058867,1.677369,-0.335797,1.11362,0.58556,-0.056819,0.847401,0.14968,-0.096915,0.968934,-0.194347,-1.049519,-2.509763,0.017104,0.202845
ACH-000724,0.016561,-0.118899,-0.014355,0.027239,0.36475,0.974647,0.339734,0.238817,0.09148,0.339348,3.142788,0.124242,-0.222329,1.282635,0.342811,-0.203713,0.33914,-0.005224,0.032954,-0.156075,0.542076,0.030907,-0.117412,-0.189654,-0.161756,0.376447,-0.170687,-0.177329,-0.067788,-0.31754,0.0,-0.140367,1.030567,-0.146689,0.2108,1.755548,-0.354613,-0.288766,0.570303,3.891542,-0.521368,1.041992,-0.359279,0.295662,0.372797,-0.041523,-0.041098,-0.101339,4.352605,-0.556382,-0.461424,0.016707,0.147189,0.0,0.186134,-0.427758,-0.12547,-0.259866,0.522223,-0.275687,0.134084,0.349564,-1.289566,2.299309,0.838348,0.382028,0.967763,-0.026628,0.472576,-0.047346,0.215639,-0.181473,-0.02868,-0.112325,-0.232778,-0.272384,0.503592,0.060981,-0.251693,0.140968,0.057659,0.56699,0.292053,0.536675,-0.071607,-0.228458,-0.368897,0.159996,-1.134746,0.965313,0.012597,0.877698,0.361526,-0.671799,0.783361,0.140718,0.424579,0.056615,1.098455,0.249992,0.75243,-0.127596,-0.509304,-0.664072,-0.290549,-0.234032,-0.907996,0.007954,-0.700564,0.595696,0.111995,-0.096766,1.174611,0.546678,0.26084,-0.218434,-0.651422,-0.187798,-0.362028,0.001792,0.177443,0.005493,0.850809,0.368092,0.142865,-0.008041,-0.264234,-0.075558,-0.068677,-0.080109,-0.089783,0.031283,-1.403137,-0.140402,-0.410862,-0.339989,0.300075,0.205886,-0.309665,0.336852,1.053651,2.886831,-0.294532,-0.28155
ACH-000525,-0.20157,0.209691,-0.31713,0.143818,-0.197693,-0.040961,1.26637,-0.191489,0.025475,1.05539,-1.579402,-0.280974,0.592207,0.166045,0.296004,0.743241,-0.046357,-0.071693,0.44837,0.052265,-0.131779,0.083502,-0.115439,0.265663,-0.2009,-0.332529,0.14344,2.948528,-0.146359,1.552451,-0.379876,-0.482811,-2.87077,-0.123861,-0.052045,-0.767592,0.221386,0.165486,-0.109708,2.17411,0.121636,-0.237512,-0.164703,0.146972,0.442565,0.06046,0.623474,0.391007,1.043769,0.751925,0.131364,-0.34189,0.241161,-0.056273,0.453845,0.157543,0.323391,-1.433366,0.98411,-0.216226,-0.082134,1.729306,2.658673,0.739328,0.724209,-0.457146,0.22427,0.053713,0.428223,1.068696,-0.409292,-0.010195,0.031612,0.008146,-0.056652,0.584992,-0.765226,1.006806,-0.058049,0.033333,-0.038089,0.391121,0.689774,0.565148,-0.250624,-0.335327,0.434956,-0.147699,0.332027,-0.270048,-0.275784,0.539342,-0.232321,0.068297,-0.612278,-1.248581,-1.819405,0.023446,0.331677,0.080149,0.373439,0.063196,-0.592968,-0.18801,-0.183237,-0.657133,-0.264556,-0.052396,0.223359,-0.116927,1.444155,-0.274188,0.329239,-0.37635,0.314119,0.3839,0.15329,0.325549,0.287121,-0.232774,0.126246,-0.122652,-0.622596,-0.512996,0.22194,0.058872,-0.056052,0.234658,-0.084313,-0.261741,0.474253,0.625881,1.952246,-0.434848,-0.242396,-0.115428,-0.056754,0.107246,0.081913,-0.018434,-1.152633,2.31088,-0.059671,-0.293156
ACH-000060,-0.115184,-0.36305,0.603132,0.022853,0.178338,0.909227,-0.6119,0.051773,0.137838,0.0241,0.353285,0.068388,-0.255939,-0.369842,0.709528,0.423769,-0.154101,0.130198,-0.342695,-0.281838,-0.619626,-0.077838,-0.058852,-0.276905,-0.046696,-0.090255,-0.141972,-0.20367,0.093612,0.235145,-0.119911,0.083646,0.654395,-0.151192,-0.304324,0.026604,-0.011571,-0.509411,0.422464,2.43829,-0.453069,1.211623,-0.469926,-0.337825,0.164737,-0.226999,-0.333227,-0.175291,4.16076,0.19103,0.57189,0.029523,0.811974,-0.481699,-0.427963,-0.316733,0.380562,-0.940689,0.789982,2.269608,-0.654495,0.328433,-0.489357,-0.099623,0.451634,0.783583,0.849485,-0.16746,-0.027588,-0.73363,-0.263996,0.048884,0.000523,-0.641914,-0.333788,0.234109,0.552017,-0.291762,0.061227,0.959683,-0.081487,0.227902,0.079667,-0.217109,-0.405614,-0.136424,-0.688999,-0.31688,0.738332,-0.466783,-0.04839,-0.340734,0.492005,0.167715,-0.067955,0.74025,2.235335,-0.077036,1.259088,-0.105098,-0.487421,-0.056269,-0.36831,-0.974045,-0.393474,-0.703596,0.160402,-0.223537,0.288417,-0.732147,-0.215951,-0.426139,0.516276,-0.007258,0.185019,-0.166711,0.237259,-0.132456,0.172431,-0.523874,-0.194397,0.195404,-0.089116,-0.230092,-0.591561,-0.075346,0.269442,-0.090832,0.012326,0.372808,-0.611261,-0.205938,1.735811,0.071496,-0.683703,0.060642,1.307356,0.341206,-0.288929,-0.075013,0.904105,1.601562,-0.334751,-0.018124
ACH-000799,0.156162,-0.25987,-0.166161,-0.553029,-0.344084,-1.190971,0.292808,-0.222925,0.121622,-0.031446,-2.180797,-0.369011,-0.123291,0.153775,-4.915041,0.396504,0.136613,-0.201162,0.087131,0.595164,-0.045106,0.16018,-0.180355,0.855707,-0.096529,0.174178,0.057097,-0.47056,-0.251375,-0.643518,-0.65084,-0.021351,-4.108926,-0.000915,-0.467695,-0.819886,-0.055758,-0.326994,-0.098915,-0.170816,-0.104891,0.080307,0.481294,0.343177,0.194411,-0.162773,-0.245558,0.098216,-1.804221,0.621813,0.360334,-0.5395,-0.090812,-0.095564,0.58727,0.436159,-0.203467,1.272998,0.109803,1.337796,1.252599,1.008116,-0.009514,-0.049688,0.129882,0.291273,1.814509,-0.232803,-0.190972,1.584598,-0.649314,0.327995,-0.003429,0.013755,0.015083,0.29792,-0.551518,0.531212,0.491616,0.880159,-0.302038,-0.006419,0.577913,0.286448,0.051799,0.643538,0.266767,-0.421589,2.167854,0.453825,1.330347,0.356712,-0.130289,-0.179625,-0.526898,-1.056912,-0.332142,-0.06571,1.082134,-0.003153,0.82542,-0.075792,0.12122,0.288813,-0.094092,0.222953,-0.019147,-0.367751,-0.094026,-0.45758,1.572068,-0.013082,-0.458393,-0.032233,-0.161409,0.173275,0.518659,0.0865,0.395003,-0.576441,-0.150621,-0.269337,-0.340548,0.074446,-0.096488,-0.227918,0.240268,-0.336689,1.093811,0.014013,-0.821557,-0.427985,-2.368734,0.834822,0.156197,-0.11283,2.283519,-0.082445,1.514283,-0.488761,0.659332,-1.046061,-0.057086,-0.351388
ACH-000176,0.300855,-0.190983,-0.229339,0.058889,-0.415654,-0.160116,-0.340976,-0.23028,-0.20144,0.653114,0.616143,0.0,-0.20273,0.585379,-0.814878,0.04914,0.373903,0.153949,0.025929,-0.322411,-0.586016,0.374344,-0.076767,1.684037,0.028386,0.542173,0.790721,0.753885,0.104735,1.069568,0.172392,0.473313,4.438007,0.231592,-0.328956,-0.698968,-0.120155,-0.814863,0.083949,-0.39912,-0.11581,0.611216,0.313864,-0.049292,-0.025857,-0.150194,-0.331644,0.095529,-1.240171,0.443158,-0.154472,-0.215444,0.056348,-0.190248,0.240175,0.554974,-0.727631,1.370597,0.121617,1.086438,1.774114,-1.185596,-0.149765,-0.813394,-0.529696,0.592382,0.065914,1.149328,0.088133,-0.127052,-0.503942,1.255314,0.438854,-0.122206,0.533598,-0.379954,0.253733,0.289314,-0.195352,0.064606,-0.10376,-0.025174,-0.024305,-0.124976,0.016407,0.774707,0.138722,-0.148094,-0.15344,0.273442,-1.71771,-0.055604,-0.230157,-1.241889,0.729495,1.349557,4.957023,-0.283488,0.473861,-0.206393,-1.146973,-0.117605,-0.459994,0.9419,0.178753,-0.416351,-0.1728,0.007891,0.053513,-0.216753,-0.501853,0.012831,-0.966198,0.855218,-0.055152,0.030171,-0.0445,-0.227687,0.100062,-0.300858,0.004836,-0.343038,-0.163024,0.160226,-0.178508,-0.051957,0.45528,-0.218405,0.520438,-0.195449,-0.71925,0.002522,-2.184556,-0.026671,-0.30834,-0.036305,0.135588,-0.111157,0.930981,-0.329103,1.188124,2.686848,0.402214,-0.002559
ACH-000769,-0.108658,0.114559,0.182428,0.283714,0.233896,0.868884,-0.07225,0.277742,0.062041,-0.444303,0.075466,-0.403726,0.509464,0.979475,0.852037,0.142906,-0.286052,0.176314,0.348428,-0.385328,0.275662,-0.520373,0.331916,-0.357775,-0.086663,0.069395,-0.165482,1.346511,-0.005611,0.391894,0.22659,-0.16207,-2.935554,-0.005615,0.25601,-0.250612,-0.299432,0.281977,0.128999,2.735278,-0.678217,0.686094,-0.537076,-0.56748,0.259644,0.284328,-0.178506,0.17947,2.838538,-0.151013,0.259489,0.422414,1.044305,0.04199,-0.467824,-0.439451,1.615347,-0.267631,0.760239,-0.663472,-0.426243,0.103661,-0.857883,-0.200045,0.482723,-1.077223,-0.282546,0.464928,0.197972,0.594353,0.375895,-0.106083,-0.177103,-0.405557,-0.332915,0.389321,-0.03633,-0.555598,0.33083,-0.279514,0.130138,1.187887,1.286783,0.4311,-0.203593,-3.674116,0.483547,0.307643,-0.889488,-1.505033,-0.583802,0.126152,0.324602,-0.788986,1.071037,0.419775,-0.438026,0.173722,-1.290507,-0.095038,0.021389,0.324006,-0.283431,-0.965001,-0.364448,-1.590217,-2.190452,0.243199,-0.624089,0.599138,0.053066,-0.136631,0.874768,-0.583156,0.224521,0.106627,-1.525832,-0.434642,-0.231298,-0.068479,0.227233,0.088348,0.0,-0.267349,-0.036951,0.916862,-0.278465,0.183569,0.007291,-0.510213,-0.494669,0.003361,4.449702,0.054251,-0.687871,-0.295101,-0.229376,0.140536,0.003089,0.441364,-1.641193,-0.519801,-0.046276,-0.228084
ACH-000885,-0.188575,-0.138438,0.793486,1.043062,-0.440967,-0.891666,0.178815,-0.314293,-0.444556,-0.057961,0.23396,0.496086,-0.065806,-0.108952,-1.707887,-0.394594,0.312387,-0.110426,-0.075308,0.863987,-0.289959,0.743245,-0.165236,1.686155,-0.243593,-0.080447,0.23735,-0.403645,-0.096631,0.005468,0.156692,0.064954,2.489983,-0.226414,-0.124324,-0.611786,0.442043,0.128067,0.104455,-0.269877,0.032965,0.99777,0.289418,0.04467,-0.384227,-0.316045,0.4109,0.548807,-0.638562,0.716253,0.385639,0.583856,0.846753,-0.135305,0.422028,0.474494,-1.140553,-0.938031,0.168706,0.306324,-0.250803,1.205288,1.334244,-0.02404,-0.096992,1.371748,-0.394605,1.463367,-0.474942,0.687185,-0.802635,0.360144,0.141354,0.40321,-0.175276,-0.061631,0.31881,1.374983,0.386326,0.114207,-0.28057,-0.472199,-0.013421,-0.895515,0.060458,-4.807075,-0.065431,-0.365448,1.274656,0.793633,1.717682,0.748035,0.285984,0.902588,-0.5695,0.780189,-1.119774,-0.215556,1.299753,0.656727,0.413459,-0.190027,0.540939,0.088667,-0.063679,0.162776,-0.021458,-0.46762,1.12397,0.585779,-0.017718,-3.148789,-0.466807,-0.413224,-0.307428,-0.610312,0.876308,0.488979,-0.056282,-0.476764,-0.250517,-0.226176,0.150965,-0.042736,-0.16566,-0.214269,-0.197844,-0.360943,-0.341096,-0.373321,-0.511749,0.002282,-3.154725,0.734096,0.118604,0.653568,0.681078,0.812807,1.229932,-1.042594,0.680426,0.697605,-0.274573,-0.215956
ACH-000423,0.834051,0.455723,-0.226778,0.310677,-0.431302,-0.444809,-0.576973,-0.038243,-0.274512,0.353047,-1.304243,-0.699794,-0.19176,-1.230467,2.075771,0.309256,0.415005,0.014241,0.573669,0.338473,0.347096,0.567814,0.142603,-0.055203,-0.069692,-0.014927,-0.219196,3.238734,-0.126138,0.226943,-0.594205,-0.386349,-3.626241,0.226072,-0.208913,-0.966662,1.596551,-0.135502,-0.562591,-0.169689,0.079844,0.20844,0.109943,0.409333,0.697278,-0.064523,0.386344,-0.156461,-1.393992,1.644219,0.132147,-0.342251,0.431651,0.074233,1.060044,1.381266,0.713553,1.994166,0.418846,0.805276,-0.52437,2.239627,0.139648,-0.569999,-0.054355,-0.199394,0.779999,-0.130134,0.119367,1.383823,-0.17142,-0.222104,-0.033302,-0.176012,0.581454,0.891642,-0.409811,0.586267,-0.081445,-0.266557,-0.176734,-0.302971,0.303676,0.818264,0.136283,-0.085622,0.396123,-0.432096,-0.383318,1.740572,0.604781,-0.21032,-0.484719,-0.668273,1.574449,1.546465,-0.814153,0.0,1.04165,0.483407,-0.657728,-0.474173,-0.017652,-0.626199,0.568772,0.452227,0.690696,-0.031988,0.399229,-0.964164,0.116742,0.585702,-0.443451,0.120614,0.079751,1.002134,1.278331,0.078442,0.07941,0.23143,-0.232869,0.162858,-0.55911,-0.966965,0.411058,-0.188358,0.160038,-0.262481,-0.319564,-0.618856,2.060984,-0.475289,-2.179762,0.313578,0.285675,1.461043,-0.305636,-0.006789,0.89341,-0.365904,-1.806107,-2.59295,0.101953,0.297041
ACH-000222,0.404863,-0.200637,0.737979,-0.434957,-0.031708,-0.242,0.071994,-0.291576,-0.631522,0.705124,-0.453351,-0.016176,-0.5791,-0.690435,0.116174,0.09644,0.359685,-0.262364,-0.083405,-0.064079,-0.833808,0.477776,-0.133864,-0.604996,0.100573,0.25774,0.206615,-0.505179,-0.160869,0.113629,0.066405,0.258733,-0.950704,0.064373,-0.549439,1.249254,1.440753,0.077308,-0.009611,1.524524,0.148253,0.004223,-0.028324,-0.339446,-0.256105,-0.352581,-0.012789,-0.229447,1.83654,1.121567,0.807618,-0.058599,-0.846747,-0.049869,0.374694,0.589791,-1.095126,-1.463016,-0.343736,0.911115,-0.338059,-0.020628,-0.032454,-0.23875,-0.602385,0.769835,1.808876,-0.472767,-0.43701,-0.536297,-0.410243,0.486781,-0.388627,0.981843,-0.138314,0.032608,-0.053276,0.312041,0.040336,0.006757,-0.310464,-0.668736,-0.420558,-0.171515,-0.220105,0.899132,0.002393,-0.450452,0.893604,1.760855,-0.166294,0.00647,-0.586088,-0.782266,-1.088245,0.836264,0.024697,-0.522148,0.367757,0.106067,1.357617,-0.353285,0.079588,0.521281,0.218781,0.911636,0.511028,-0.312746,-0.296234,-0.208673,-0.993058,0.75223,-0.923463,0.176869,-0.606047,-0.279819,-0.592268,-0.177412,0.720576,-0.155536,-0.356074,-0.30853,0.011912,-0.071369,0.005418,0.094709,0.399737,-0.543837,-0.467642,-0.24701,0.624583,0.125031,2.146063,-0.206129,-0.223842,1.069651,2.745242,0.907363,0.487696,-0.68798,2.028262,0.407897,0.000439,-0.446418
ACH-000409,0.341275,0.108716,-0.541773,0.212642,0.055598,-0.231226,0.968609,-0.03726,0.489382,-0.44247,0.031716,0.160552,1.737401,-0.061209,0.379067,0.163558,-0.224317,-0.020706,0.178001,-0.558147,0.122931,0.229781,-0.039378,-1.858802,-0.102338,0.107422,0.114056,0.160029,-0.0417,0.574181,-0.251378,-0.261763,-2.469304,0.041237,0.507254,-0.026577,0.155501,0.170129,-0.130836,0.117847,-0.043119,0.244453,0.153923,0.975347,0.000487,0.279816,0.009345,0.749387,0.78325,-0.485797,-0.480986,-0.387186,0.402313,-0.071988,-0.637202,-0.363186,-0.259908,-0.311945,-0.298756,-0.642397,-0.392387,0.978457,-1.447424,-0.159389,-0.350009,-0.199091,-0.357158,0.449035,0.248555,3.382188,-0.307504,-0.003734,-0.136512,-0.171595,-0.104708,-0.396497,-0.987615,-0.747894,-0.503436,-0.040305,0.302962,0.535901,-0.085793,0.293418,-0.572121,-1.779943,0.278699,0.096353,-0.410063,0.0,-0.521642,-0.044249,0.590506,0.124197,-0.092321,0.67096,-0.292927,0.455396,-0.899791,-0.276972,1.113621,0.080545,-0.018663,-0.074478,-0.203389,-0.297434,0.764994,0.740638,-0.3845,0.064531,0.020208,0.252246,0.046171,0.345688,0.102026,0.321165,-1.007532,0.898426,-0.28724,-0.113397,0.5076,-0.15868,0.538744,0.315851,-0.468078,0.393081,0.052327,0.098792,0.49839,-0.066106,-0.809431,-0.040613,-0.878486,0.036512,0.412447,-0.215128,0.127917,-0.028559,-0.378674,0.014889,0.127117,0.331059,0.013374,0.320297
ACH-000638,0.300705,-0.089912,0.477705,-0.210285,0.164503,0.212481,-0.514194,-0.079386,-0.06897,-0.351597,1.05151,0.691619,0.051199,1.370931,-0.223309,0.236319,0.053042,-0.112811,-0.162226,-0.896424,-0.648089,0.611502,-0.212066,0.368633,0.453128,0.190347,-0.456797,-0.415151,-0.076612,0.509298,0.245121,0.035647,2.038882,0.029731,-0.060541,0.873197,0.21542,0.043796,-0.346614,1.977975,0.029887,-0.056355,0.434974,-0.049342,0.233127,-0.034738,-0.184154,-0.303755,3.763808,0.099342,-0.221633,0.193674,0.413761,0.074207,0.023874,0.600487,-0.206766,2.697533,0.266885,0.734691,-0.082081,0.763593,-0.126305,-0.292699,-0.27052,1.090549,1.155869,-0.112082,-0.070632,-0.41123,0.869364,0.285138,-0.200152,-0.437184,0.050414,0.101171,1.315761,0.673799,-0.371797,0.820134,0.013203,-0.008145,0.230399,-0.491603,0.369919,1.431507,-0.065973,-0.286568,0.016572,0.967001,-0.251087,-0.350204,0.332916,-0.177158,1.066432,1.056844,-1.015685,-0.236272,-0.086999,-0.594616,-0.506316,-0.35846,-0.294611,0.11436,0.069984,-0.022548,-1.12831,0.184607,-0.189777,-0.445637,-0.047992,-0.29673,0.961941,-0.353907,-0.07835,-0.393174,-0.490706,0.24126,0.095236,0.037088,-0.007139,-0.301983,0.290377,0.909466,0.50839,-0.295753,0.023263,-0.398823,0.284002,0.835754,-0.742534,-0.325159,1.645719,0.049045,0.760052,-0.037285,0.37698,-0.514532,0.900403,3.826751,0.268184,0.816209,0.047767,-0.242476
ACH-000521,-0.029546,-0.054684,0.177695,1.166014,0.175461,1.437209,1.017303,-0.024491,0.512719,-0.545428,0.523589,0.238178,0.359687,-0.134994,0.685432,-0.646257,0.093895,0.214896,-0.246076,-0.052822,-0.49868,0.699367,-0.208063,-0.139507,0.180764,0.330501,-0.05212,1.8326,-0.155505,-0.323721,0.115093,0.205793,1.584796,0.134175,-0.157185,1.311679,0.186025,1.014642,-0.231524,-0.263959,0.02943,-0.17354,0.134105,0.163292,-0.134863,-0.01885,0.126312,-0.507413,-0.658814,0.326501,-0.421701,-0.08623,-0.583925,0.168045,-0.060512,0.339424,-0.771793,-0.530585,-0.430866,0.032083,1.639234,-2.197839,1.341014,-0.250988,-0.435185,0.18151,0.280562,0.485917,0.100603,0.33242,-0.406458,-0.003964,-0.131409,0.506306,0.048682,0.541069,-0.402271,0.364005,-0.082648,0.433412,-0.061193,-0.180774,-0.225465,-0.160921,0.367644,0.473806,0.31999,0.035959,0.008473,0.612647,0.207159,-0.510163,0.435266,0.279904,1.501728,-1.635,-1.329332,-0.193377,0.317048,-0.626987,-0.166152,-0.607827,-0.609826,0.13553,-0.176304,-0.59436,-0.44589,-0.295643,-0.048198,0.220751,-0.32839,-0.264781,-0.353993,0.250262,-0.040142,0.159808,-0.869341,0.068704,-0.043136,0.26956,0.683188,-0.276066,-0.248952,-0.704041,0.151036,-0.297153,0.00121,-0.231153,-0.104167,0.666523,-0.960199,-0.076875,-2.826752,0.323688,0.496625,-0.003511,2.300223,-0.209626,0.815547,-0.466844,1.010266,1.039447,0.546262,-0.253331
ACH-000931,-0.240871,-0.283877,0.391021,0.049947,0.107549,0.208549,1.543669,0.029745,-0.12763,-0.674811,0.981338,-0.54104,-0.28719,1.265319,-0.675477,0.453988,0.32712,-0.025443,0.073233,-0.214246,0.336765,-0.807725,-0.099387,0.143304,-0.254435,-0.239594,-0.060521,-0.117496,-0.047172,0.183803,-0.575485,-0.6336,-3.088921,-0.161699,-0.055699,-0.225112,-0.029192,-0.188868,-0.167434,-0.508597,-0.456066,0.736711,-0.218436,-0.319483,0.505353,-0.116399,0.250223,0.524494,-1.353566,-0.116457,0.238501,-0.103112,0.796043,0.023554,-0.271669,-0.497884,0.488067,-0.945291,0.48237,0.333928,-0.046571,1.565318,-0.879397,-0.457693,0.044512,0.128035,1.499943,1.916595,-0.239368,-0.774709,0.053754,-0.435728,0.317605,-0.286209,-0.240815,0.312981,-0.151061,-0.178387,-0.153645,0.01838,-0.084199,0.096382,0.190368,0.488098,-0.177649,-0.528622,-0.172162,-0.027871,1.241945,0.216351,-0.491963,0.802413,-0.451875,0.949783,0.434895,0.383281,-0.817105,0.437058,-0.230689,-0.06542,1.06546,0.392265,0.143114,0.002043,-1.5e-05,0.176761,0.273879,0.018219,1.135558,-0.416469,0.799761,-0.019055,-0.142602,-0.324602,0.150675,0.001569,1.108477,0.440412,0.286815,-0.181508,-0.14628,0.23003,0.138805,-0.025503,-0.510029,-0.091987,0.260185,0.144403,0.981679,0.520288,1.376673,0.216131,0.847681,0.273053,-0.339072,-0.056287,-0.319878,0.110419,0.661021,0.053858,-0.667335,2.766524,-0.093381,0.211678
ACH-000574,0.13101,-0.209222,-0.485193,0.414731,-0.209052,-0.703021,-0.346149,-0.078178,0.406099,0.69949,-1.477528,0.330565,1.106501,-1.115408,-0.296819,-0.471079,-0.487595,0.261696,0.93124,-0.141071,1.980037,1.152514,-0.168104,-0.804466,0.311909,0.138032,-0.181572,0.321299,0.124062,0.770527,0.104001,-0.294568,-0.503673,0.268518,0.173092,0.486537,-0.116949,-0.395171,-0.173809,-0.074113,0.327665,0.807151,0.90872,1.887181,0.00245,0.09633,-0.304691,0.435393,0.68674,-0.012545,-0.366726,-0.690969,-0.686673,0.63682,-0.489136,0.527872,-0.455642,-0.085891,-0.03554,-0.273802,-0.212494,1.213288,-0.237464,0.142066,-0.766137,1.09473,-0.355144,0.292662,0.28016,1.570565,0.186757,-0.418772,0.010484,-0.20922,0.189145,-0.683396,0.777355,-0.402904,-0.084405,-0.074922,0.169345,-0.126907,0.216178,0.182241,0.409944,-0.864028,0.818691,0.129297,-0.977627,-1.391759,0.040415,-0.369856,1.416152,-1.342148,1.52369,-0.300131,-0.29464,0.212572,0.150015,-0.244712,-0.193246,0.059115,0.004951,2.596694,1.343184,1.53041,1.752054,0.393869,-0.37777,-0.104621,-0.085937,-0.046077,-0.281833,1.061255,-0.117718,0.139369,-1.039085,1.331718,-0.164515,0.244833,0.133702,0.094094,0.012847,0.102824,0.82932,0.253611,0.26743,0.000912,0.063128,0.254095,-0.533434,0.019867,-1.909228,0.043971,3.511495,-0.074372,-0.414945,-0.284969,1.496556,0.121116,0.276887,-0.41768,-0.073391,0.958144
ACH-000477,0.042621,0.292586,0.427427,0.0,0.080692,-0.381385,0.142106,0.244888,-0.349915,-0.270673,-1.019404,-0.193777,-0.230527,-1.478931,0.121712,0.809082,0.216174,-0.205518,-0.168277,0.410468,0.268239,0.017177,0.213234,-0.504024,-0.047449,-0.205335,-0.207778,1.686517,-0.046959,-0.713741,-0.563634,0.511268,-0.683695,0.002882,0.060108,-0.350906,0.485134,0.043642,-0.299399,-0.144299,0.226319,-1.558486,0.444964,0.080334,-0.160979,0.051258,0.155126,0.299532,2.636688,0.052556,-1.101564,0.204757,-0.595807,0.204192,0.187095,0.012066,1.966122,-0.333475,-0.158832,-0.45131,0.931931,1.032494,1.322276,-0.558439,-0.177574,-0.309825,1.397416,-0.112884,0.266213,-0.337751,0.119319,-0.239901,-0.362741,-0.368193,0.168836,-0.36082,-0.561164,0.904218,0.522622,-0.170485,-0.108105,-0.193266,-0.065751,0.087036,-0.210505,0.305107,0.007257,-0.066301,0.310473,1.264871,0.103384,0.08025,-0.241806,1.757489,-0.327521,0.060823,-0.361781,-0.08308,0.95799,0.005927,0.269523,0.070405,1.158135,-0.220711,0.12535,0.539382,-0.41134,0.003124,0.168924,0.655831,1.491101,0.650779,0.155316,-0.989754,-0.191905,0.31337,-0.049791,-1.017135,0.868901,-0.068135,-0.189025,-0.491127,-0.117016,-0.470956,0.687458,-0.367767,-0.372518,-0.141837,-0.052862,-0.671886,2.778277,-0.284151,-1.930827,0.189777,-0.489651,0.484003,-0.041008,-0.357865,0.127746,0.165619,-1.470201,-1.691784,-0.112885,-0.215688
