SMILES,Supplier Ref,CLNUMBER,PLATE,Capan-2,SW1990,BxPC-3,HPAF-II,CFPAC-1,Panc10.05,AsPC-1,in_plate_selection,positives Capan-2,positives SW1990,positives BxPC-3,positives HPAF-II,positives CFPAC-1,positives Panc10.05,positives AsPC-1,# positives,positives any
Oc1ccc2c(c1)c1c3n2CCNC3CCC1,5989-0636,CL1498,PLATE_001,6.6352,5.6278,-1.5706,-2.9653,-3.7456,-5.679,-7.4589,1,0,0,0,0,0,0,0,0,0
COCCN1C(=O)C(O)=C(C(=O)c2cc3ccccc3o2)C1c1cccc(OC)c1,6247-0067,CL1575,PLATE_001,7.172,-10.0106,-7.2325,-8.7712,3.0281,-12.7933,-6.9678,0,0,0,0,0,0,0,0,0,0
COC(=O)C1=C(C)NC2=C(C(=O)CC(c3ccc(OC)cc3)C2)C1c1ccc(OC)cc1,5991-0034,CL1588,PLATE_001,4.493,0.4482,-3.187,-2.3841,3.696,0.3151,-10.729,0,0,0,0,0,0,0,0,0,0
CCSc1nc2c(c(=O)[nH]1)C(c1ccc(Br)cc1)C1=C(CCCC1=O)N2,6279-6042,CL1109,PLATE_001,1.6452,9.6951,7.9751,0.1517,-0.6362,-6.2045,1.9172,0,0,0,0,0,0,0,0,0,0
CCOc1cc(-c2cc(OC)c(OC)c(OC)c2)cc(=O)c2c(C)oc(C)c12,3998-0011,CL1095,PLATE_001,4.8839,-1.8779,4.0162,8.9601,18.143,5.9769,12.901,1,0,0,0,0,0,0,0,0,0
O=C1c2oc3ccccc3c(=O)c2C(c2ccc(Cl)cc2)N1c1ccccn1,6699-0002,CL7562,PLATE_001,15.6395,-6.9256,-0.7264,0.727,0.8083,-4.88,13.874,0,0,0,0,0,0,0,0,0,0
COc1ccc(-c2cc(OC)c3c(C)oc(C)c3c(=O)c2)cc1OC,3998-0018,CL1095,PLATE_001,0.8749,-15.0627,-1.9763,-3.1283,2.6151,-1.2165,-1.268,0,0,0,0,0,0,0,0,0,0
Cc1ccc(C2c3c(oc4ccccc4c3=O)C(=O)N2c2ccccn2)cc1,6699-0003,CL7562,PLATE_001,10.539,-9.1936,-5.9278,-3.8984,7.9761,-12.3919,8.5306,0,0,0,0,0,0,0,0,0,0
CCOc1cc(-c2cc(OC)c3c(C)oc(C)c3c(=O)c2)ccc1O,3998-0023,CL1095,PLATE_001,8.326,-1.0248,0.493,6.3603,24.9615,9.2223,12.907,0,0,0,0,0,0,0,0,0,0
CCOc1ccc(C2c3c(oc4ccccc4c3=O)C(=O)N2c2ccccn2)cc1OCC,6699-0043,CL7562,PLATE_001,7.9465,2.7926,-3.6103,8.0181,18.001,-5.1891,8.3274,0,0,0,0,0,0,0,0,0,0
CC1=C(C(=O)OCCOC(C)C)C(c2ccc3c(c2)OCO3)NC(=O)N1,3999-6336,CL1819,PLATE_001,6.877,2.8946,-2.6274,8.6663,14.0426,-3.8724,9.8876,0,0,0,0,0,0,0,0,0,0
Cc1ccc(N2C(=O)c3oc4ccccc4c(=O)c3C2c2cccc(Br)c2)nc1,6699-0054,CL7562,PLATE_001,14.4949,-4.0772,-0.3839,5.3558,8.3991,-6.3182,9.9789,0,0,0,0,0,0,0,0,0,0
CCOc1cc(C2NC(=O)NC(C)=C2C(=O)OCCOC(C)C)ccc1O,3999-6348,CL1819,PLATE_001,3.3579,8.1113,-4.5582,4.0519,9.6887,-5.832,-6.8449,0,0,0,0,0,0,0,0,0,0
Cc1ccc(N2C(=O)c3oc4ccccc4c(=O)c3C2c2ccc(F)cc2)nc1,6699-0056,CL7562,PLATE_001,-0.6783,-3.3254,-6.8038,-4.3247,9.3177,-7.9378,2.0556,0,0,0,0,0,0,0,0,0,0
